commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgzJQhap-B4t4WmYv954AaABAg,Can’t wait to see all the comments saying Jon is ducking him when he’s in the fight full mount raining ground and pound and chokes him out. Bunch of casuals who just started watching UFC in this comment section. Even after that dominant performance in Jon’s last fight. It’s goijng to happen again.,10 months ago (edited),0,@Ryan-ve7le,,DXEittBUtlQ,1,,
UgxS3ArgLOYRAp6J1A54AaABAg,If these fighters are so good you fight the best no question,1 month ago,0,@philliptiestopl1511,,K0elxNOHGEc,1,,
UgzGdX1yRa1POHRq06h4AaABAg,John bones the dodger,16 hours ago,0,@sheldonpaishon8661,,qJnrYMGxh0k,1,,
UgxPoMzq8skzDfGR6_B4AaABAg,Forget the alcohol was Matt riddle😂,7 months ago,0,@jamesy4046,,5yk0xPqSg4c,2,,
UgxZlQAp_Bc8wOx5DkJ4AaABAg,Sexual Chocolate 🍫,4 months ago,0,@Amp-gn2mi,,Cgmy_vfDUBQ,2,,
UgzPf7qIzzNnxyZN4XB4AaABAg,"He should fight tom for the belt , then alex",6 months ago,0,@Dontbesosoft,,krlXmLCUgYE,1,,
UgxWH9LG4hMTLnn0NXF4AaABAg,John Jones is a fuckin bum that would get smashed in a street fight,5 years ago,0,@droneready8278,,ebeQBYvWKsw,1,,
UgxJl2N51eUmjs4botl4AaABAg,"Jon jones goat 
* Drug cheat
* Woman beater
* Professional duck",23 hours ago (edited),0,@Ruddy_Games,,JaM3nhE3bvo,2,,
UgxcoLG26o3KweYMcuJ4AaABAg,Easy fight on cke,3 years ago,0,@johnq2068,,BV3FcAecXL0,1,,
Ugw3cLMxx21ds0MufNB4AaABAg,U forgot to look under /inside cage,10 months ago,0,@InstinctiveNative,,loI-n85BejQ,2,,
Ugyf6JgYqRdQ3n1mfi94AaABAg,Why not fight them both since  your the  GOAT? .Prove the people  wrong  then john.,7 months ago,0,@nicholaslawrence2083,,ViBSUxVp1Q0,1,,
UgxeAepvvNuRh4_tWgN4AaABAg,I think the fans would much rather see JJ fight TA way before he fights AP…I would say if he beats SM…then fight TA and if you win that fight then fight AP.,7 months ago,0,@BigDook81,,ViBSUxVp1Q0,1,,
Ugw4jMS1ycREzksGaI94AaABAg,DC goat,4 hours ago,0,@KO-club,,dluI1J-aTus,1,,
UgyXOrpfT7ZntZA5U5h4AaABAg,They all affect your legacy,6 months ago,0,@freyna,,ViBSUxVp1Q0,1,,
