id,text_raw,text_clean
944,10 1/2 inches Joe!😆,10 1 2 inches joe 😆
945,It was pay back,it was pay back
946,It was a laugh 😆 no disrespect at all 😂,it was a laugh 😆 no disrespect at all 😂
947,Jon Jones is homelander,jon jones is homelander
948,I could never have that kind of strengheid he looks like he is going to faint. Jeez.,i could never have that kind of strengheid he looks like he is going to faint  jeez
949,why tf is there blood on the ground?,why tf is there blood on the ground
950,Magroes don’t mean nothing 😂,magroes don t mean nothing 😂
951,If DC was taller he could of eye gouged Jon Jones like he did so  many other fighters. It could have given him a bit of an advantage.,if dc was taller he could of eye gouged jon jones like he did so  many other fighters  it could have given him a bit of an advantage
952,Then vacate the title and have your “legacy” fight but you’ll always have that marker over your head that you ran from the more dangerous fight rather than give aspinall a shot just like you were given from previous top fighters before you.,then vacate the title and have your  legacy  fight but you ll always have that marker over your head that you ran from the more dangerous fight rather than give aspinall a shot just like you were given from previous top fighters before you
953,Ngl I forgot the part where we give af what a washed up old retired DC says. Jones would make him re retire 😂,ngl i forgot the part where we give af what a washed up old retired dc says  jones would make him re retire 😂
954,"Aspinal is a great fighter now in the UFC, but Jones is a straight up killer ☠️....Aspinal don't respect Jones , he wants a quick win over Jones, but Jones is 10 years older than Aspinal so get real man. If Jones retired after the Stipe fight , no problemo bro.....Jones is Legendary.",aspinal is a great fighter now in the ufc  but jones is a straight up killer ☠ aspinal don t respect jones   he wants a quick win over jones  but jones is 10 years older than aspinal so get real man  if jones retired after the stipe fight   no problemo bro jones is legendary
955,"I'd love to see Dana in the ring with a man like Jones, his ego would be so hurt by all the dirty tactics... his boss being clearly biased for certain fighters.
Hes like the parent that says they dont have a favourite","i d love to see dana in the ring with a man like jones  his ego would be so hurt by all the dirty tactics  his boss being clearly biased for certain fighters 
hes like the parent that says they dont have a favourite"
956,Murderer,murderer
957,Jon Jones is THE dirtiest fighter and a total scumbag to his wife and kids,jon jones is the dirtiest fighter and a total scumbag to his wife and kids
958,"Dana has been too quite. So I think this fight is done. It’s going to happen. Oh and by the way. Tom wins. To big, too fast, and can wrestle",dana has been too quite  so i think this fight is done  it s going to happen  oh and by the way  tom wins  to big  too fast  and can wrestle
959,The Duck is dethroned 🎉🎉🎉🎉,the duck is dethroned 🎉🎉🎉🎉
960,Can now all say that John Jones is avoiding good fights pulling at Jake Paul,can now all say that john jones is avoiding good fights pulling at jake paul
961,Well said,well said
962,Yea or u saw francis damn near kill our hero stipe & u said. Oh hes broken now. Im gonna get in on that. Rough him up twice on his way down. Which u did jon. So theres that. U should be proud thats what u wanted. Better to fight him in decline rather than in prime. Wouldnt u agree?,yea or u saw francis damn near kill our hero stipe   u said  oh hes broken now  im gonna get in on that  rough him up twice on his way down  which u did jon  so theres that  u should be proud thats what u wanted  better to fight him in decline rather than in prime  wouldnt u agree
963,Isn't there a clip of Jon flat out admitting he does it on purpose lol,isn t there a clip of jon flat out admitting he does it on purpose lol
964,Thinking Jon is afraid of Tom is crazy 😂🤷🏾‍♂️,thinking jon is afraid of tom is crazy 😂🤷🏾 ♂
965,Джон напуган,джон напуган
966,"Acho covardia quando se da cotoveladas, já com a luta nas mãos. Desnecessário!!!!",acho covardia quando se da cotoveladas  já com a luta nas mãos  desnecessário
967,Jon jones even in his early days does a lot of illegal moves lol,jon jones even in his early days does a lot of illegal moves lol
968,85% sold out and flying under the radar — don’t wait till you’re priced out of Alaxio.,85  sold out and flying under the radar   don t wait till you re priced out of alaxio
969,Fighter’s name?,fighter s name
970,This is a bad look Jon.,this is a bad look jon
971,"5:03 Look how quick Chael got up after the ref did the early stoppage, he was gonna disintegrate Jones! Jones got lucky af!!",5 03 look how quick chael got up after the ref did the early stoppage  he was gonna disintegrate jones  jones got lucky af
972,"Shit DC, I'll fight Jones and Aspinal at the same time for 30 mil. lol",shit dc  i ll fight jones and aspinal at the same time for 30 mil  lol
973,"Wow really black guy with 9"" more reach....not surprised...& thats with his hands behind his back..Lol
Joe "" I like to see guys get kicked in the nuts "" Rogan perv","wow really black guy with 9  more reach not surprised  thats with his hands behind his back lol
joe   i like to see guys get kicked in the nuts   rogan perv"
974,Most fighters are gay what’s new,most fighters are gay what s new
975,He's hung over,he s hung over
976,Teabag was exactly like MW2 😂,teabag was exactly like mw2 😂
977,"Talking all that shit, got your ass mopped twice 😂😂😂😂",talking all that shit  got your ass mopped twice 😂😂😂😂
978,Chael Sonnen looked cut before the fight started!,chael sonnen looked cut before the fight started
979,“The problem was” funny choice of words,the problem was  funny choice of words
980,They both look slow as molasses,they both look slow as molasses
981,You were never top fifty,you were never top fifty
982,"He is no match, just a joker.",he is no match  just a joker
983,"He hit him with the randy ortin ""because im better than you"" now jon gotta response or retire a coward.",he hit him with the randy ortin  because im better than you  now jon gotta response or retire a coward
984,The best fighter ❤,the best fighter ❤
985,Anytime I ever mention Jon Jones for the rest of my life I’ll make sure to also mention 🦆,anytime i ever mention jon jones for the rest of my life i ll make sure to also mention 🦆
986,"6:48 Groin Strike then 3 strikes
10:35 Groin Strike - Ref comments ""that's the 2nd or 3rd time""
14:34 Ref warns Jones about groin shit again.
15:46 Ref warns Jones about fingers  on the cage.","6 48 groin strike then 3 strikes
10 35 groin strike   ref comments  that s the 2nd or 3rd time 
14 34 ref warns jones about groin shit again 
15 46 ref warns jones about fingers  on the cage"
987,This stipe fight has been in the works for a longtime that fight will happen after Jon beats stipe if he doesn't retire then it will be Jon vs Tom and trust me Jon isn't scared trust me,this stipe fight has been in the works for a longtime that fight will happen after jon beats stipe if he doesn t retire then it will be jon vs tom and trust me jon isn t scared trust me
988,Jon jones you’re a coward,jon jones you re a coward
989,G.O.A.T,g o a t
990,Daniel.  Only jones calls him that.  Carlton.,daniel   only jones calls him that   carlton
991,Juicy Jones can't forget to tell them your true secrets,juicy jones can t forget to tell them your true secrets
992,He is that nice guy you just really don't mess with. 😂,he is that nice guy you just really don t mess with  😂
993,"Very well done, appreciate this video!",very well done  appreciate this video
994,What jones has done to his wife in front of his children should be enough to make him scared to show his face in public but we’re in the modern era where it’s OK but imagine if Tom did the same thing it would be a totally different story because he’s a proper British fighter,what jones has done to his wife in front of his children should be enough to make him scared to show his face in public but we re in the modern era where it s ok but imagine if tom did the same thing it would be a totally different story because he s a proper british fighter
995,Dana got some nice nails,dana got some nice nails
996,Khabib is the GOAT 🐐,khabib is the goat 🐐
997,Jon was just doing his thing and let it fly. It was an accident that should’ve costed him the belt. End of story,jon was just doing his thing and let it fly  it was an accident that should ve costed him the belt  end of story
998,I feel Reyes won but Reyes gassing out is what ultimately lost him the fight allowing Jon to come forward in the championship rounds and make a claim.  Still tho Reyes took 1-3 for sure,i feel reyes won but reyes gassing out is what ultimately lost him the fight allowing jon to come forward in the championship rounds and make a claim   still tho reyes took 1 3 for sure
999,He just admitted that mma is a show like wwe. It is all business only! Nothing about being the strongest fighter.,he just admitted that mma is a show like wwe  it is all business only  nothing about being the strongest fighter
1000,So polite so polite so polite🫡🫡🫡,so polite so polite so polite🫡🫡🫡
1001,By his logic nobody gets a title shot until they hold a title. If he wasn’t bothered by Aspinal he’d just fight him. He’s scared simple as that. I thought Jones was the man but he’s shown himself to be a p*ssy who’s not willing to put his belt on the line.,by his logic nobody gets a title shot until they hold a title  if he wasn t bothered by aspinal he d just fight him  he s scared simple as that  i thought jones was the man but he s shown himself to be a p ssy who s not willing to put his belt on the line
1002,And women too,and women too
1003,"Great fight. Close result. 


Both very good fighters. 

Hope your eye will heal soon DC. 

All the best.","great fight  close result  


both very good fighters  

hope your eye will heal soon dc  

all the best"
1004,This jones at heavyweight destroys ngannou easy,this jones at heavyweight destroys ngannou easy
1005,The only reason tom has no accolades is because Jones won't pass the torch.. holding up the heavyweight division because he knows how much of a threat tom is! Can be no other reason for ducking him,the only reason tom has no accolades is because jones won t pass the torch  holding up the heavyweight division because he knows how much of a threat tom is  can be no other reason for ducking him
1006,He said that shit with excitement !,he said that shit with excitement
1007,Stop with this tap artest!!!! My badsure he can take Jon?!?!?? Yeah right Jon will walk through him first round bet the house!!!!,stop with this tap artest  my badsure he can take jon  yeah right jon will walk through him first round bet the house
1008,Hes so cringe lol,hes so cringe lol
1009,Khabib would have been a better example of not losing,khabib would have been a better example of not losing
1010,"""Resources"" wink wink...",resources  wink wink
1011,He had already concussed him on the ground with the elbow the round before,he had already concussed him on the ground with the elbow the round before
1012,Still couldn’t beat crack head Jones 3 times 🙄 damn man,still couldn t beat crack head jones 3 times 🙄 damn man
1013,That is a really poor attitude. Not fair on Tom and if I was a heavyweight in that division id be pissed that he is basically holding the belt hostage. Dana needs to step up.,that is a really poor attitude  not fair on tom and if i was a heavyweight in that division id be pissed that he is basically holding the belt hostage  dana needs to step up
1014,Problem is John is improved so you can’t judge him for an old fight. He’s not gonna take those type of shots. He’s gonna have strategy for it.,problem is john is improved so you can t judge him for an old fight  he s not gonna take those type of shots  he s gonna have strategy for it
1015,"People talk about tom, they talk about francis; some people even talk about him ducking blachowicz but the funniest thing was when people asked jon to fight DC at heavyweight he was like: ""well if I'm going to fight somebody people consider one of the greatest of all time i will need a long time to prepare"". A man he had beaten twice on paper.",people talk about tom  they talk about francis  some people even talk about him ducking blachowicz but the funniest thing was when people asked jon to fight dc at heavyweight he was like   well if i m going to fight somebody people consider one of the greatest of all time i will need a long time to prepare  a man he had beaten twice on paper
1016,"Jon Jones, that beard is WEIRD son. Somebody needs to slap a submission on that thing.",jon jones  that beard is weird son  somebody needs to slap a submission on that thing
1017,UFC has turned  into a joke.,ufc has turned  into a joke
1018,That’s super disrespectful,that s super disrespectful
1019,"Everyone moanikg about how the ad to content ratio is too high but pretend that Jon Jones didn't walk out of an interview which meant the podcast had to be cut short in the first place.

Can anyone care to admit why he walked out? Yes, that's right. It's because he's ducking Tom Aspinall.","everyone moanikg about how the ad to content ratio is too high but pretend that jon jones didn t walk out of an interview which meant the podcast had to be cut short in the first place 

can anyone care to admit why he walked out  yes  that s right  it s because he s ducking tom aspinall"
1020,Great man! Great yea bag! Perfect technique!,great man  great yea bag  perfect technique
1021,After striping Topuria and Makhachev the UFC should just strip Jones at this point!,after striping topuria and makhachev the ufc should just strip jones at this point
1022,The goat doesn’t have to answer to any of you so it doesn’t matter hate all you want 😂😂😂,the goat doesn t have to answer to any of you so it doesn t matter hate all you want 😂😂😂
1023,Considering Chris never asked to go on the program and he only did it to support his wife he done great,considering chris never asked to go on the program and he only did it to support his wife he done great
1024,Mighty Mouse is asking for 50mil so offer him 30+ ppv points call it good,mighty mouse is asking for 50mil so offer him 30  ppv points call it good
1025,I respect you jon,i respect you jon
1026,"All the eye poke jokes aside, I hope his eye recovers man. DC get well soon.",all the eye poke jokes aside  i hope his eye recovers man  dc get well soon
1027,Not me.,not me
1028,I thought you were going to do an add read there at the end lol. Im glad you’re feeling energetic <3,i thought you were going to do an add read there at the end lol  im glad you re feeling energetic  3
1029,"Hey mr mouse, I loved this episode and i love your channel it was great having him on. One piece of advice I would give you for interviewing someone though would be to do a bit more research on them, it makes for a smoother and more cohesive interview and you would earn more of their respect. Love your channel man keep doing what your doing :)",hey mr mouse  i loved this episode and i love your channel it was great having him on  one piece of advice i would give you for interviewing someone though would be to do a bit more research on them  it makes for a smoother and more cohesive interview and you would earn more of their respect  love your channel man keep doing what your doing
1030,No shame in losing to the goat,no shame in losing to the goat
1031,John better than a top contender at his own game. GOAT,john better than a top contender at his own game  goat
1032,"U wanna call the best mma fighter a duck? Now wait 😂😂😂😂 for the 🦆. Everyone of u, including all these crying pommies.....are gonna buy that Jones vs Asspinhole pay per view and make Jones the highest paid mma fighter EVER 😂",u wanna call the best mma fighter a duck  now wait 😂😂😂😂 for the 🦆  everyone of u  including all these crying pommies are gonna buy that jones vs asspinhole pay per view and make jones the highest paid mma fighter ever 😂
1033,"Everybody says they can beat the goat until they hear ""And stillllllllllll""",everybody says they can beat the goat until they hear  and stillllllllllll
1034,"Bro, felt the energy in the room",bro  felt the energy in the room
1035,Kahibib would kill jon jones.,kahibib would kill jon jones
1036,He just quits everytime.,he just quits everytime
1037,That was a classless statement. All because you didn't like him! SPITT in his face for what?,that was a classless statement  all because you didn t like him  spitt in his face for what
1038,Like it or not Jon’s earned the right to do what he pleases he’s the best fighter ever and the biggest current draw at the company.,like it or not jon s earned the right to do what he pleases he s the best fighter ever and the biggest current draw at the company
1039,"Anybody that has the balls to not only get in the cage but also the wisdom to know when he is potentially going to get seriously hurt deserves respect. It's not like he quit as soon as he got touched up, he's beaten and bloodied and obviously worried about the consequences. Having the guts to admit this and fight for what's right for yourself deserves admiration.",anybody that has the balls to not only get in the cage but also the wisdom to know when he is potentially going to get seriously hurt deserves respect  it s not like he quit as soon as he got touched up  he s beaten and bloodied and obviously worried about the consequences  having the guts to admit this and fight for what s right for yourself deserves admiration
1040,U doesnt have much fight left in u...thats because tom took ur soul. Legally blah blah...coward,u doesnt have much fight left in u thats because tom took ur soul  legally blah blah coward
1041,Nobody ducks harder than jon,nobody ducks harder than jon
1042,Anyone else would have been thats why i respected hill and yari so much,anyone else would have been thats why i respected hill and yari so much
1043,"Jon Jones doesn't like face offs, he never makes eye contact with opponents",jon jones doesn t like face offs  he never makes eye contact with opponents
1044,🐐🐐🐐🐐salute 🐐 ignore the white noise.,🐐🐐🐐🐐salute 🐐 ignore the white noise
1045,His eye looked like that before Stipe poked it though,his eye looked like that before stipe poked it though
1046,Bhai Indian fighter ke liye bhi video banaya kro unko bhi saport kro Angad bist digambar singh Rawat inki bhi video banaya kro bhai,bhai indian fighter ke liye bhi video banaya kro unko bhi saport kro angad bist digambar singh rawat inki bhi video banaya kro bhai
1047,"Here today gone tomorrow. It’s been 2 years, he’s still here and Jones is still ducking. Such bullshit.",here today gone tomorrow  it s been 2 years  he s still here and jones is still ducking  such bullshit
1048,There are fighters and then there are killers. Always be aware of killers 😉 trust me my dad was a serial killer his dad before him was a serial killer. I know Killers. And Jon Jones sounds like he's willing to take it that far. Most men talk a lot fewer are up for the moment. I tried to give this guy a fair warning one time I gave him four Fair warnings and he didn't listen so he ends up doing something really dirty. And I sent him to the hospital to get stitches and Staples put in his face he had 32 Staples. It took him 6 months to recover almost a year. Killers are different,there are fighters and then there are killers  always be aware of killers 😉 trust me my dad was a serial killer his dad before him was a serial killer  i know killers  and jon jones sounds like he s willing to take it that far  most men talk a lot fewer are up for the moment  i tried to give this guy a fair warning one time i gave him four fair warnings and he didn t listen so he ends up doing something really dirty  and i sent him to the hospital to get stitches and staples put in his face he had 32 staples  it took him 6 months to recover almost a year  killers are different
1049,Baaaaaaa 🐐,baaaaaaa 🐐
1050,Pereira vs Jones will feed families,pereira vs jones will feed families
1051,"No my friend, aspinall cannot be the interim champion, that’s the point he’s making",no my friend  aspinall cannot be the interim champion  that s the point he s making
1052,And now DC and Joe being the one of best commentators of all time …. :’),and now dc and joe being the one of best commentators of all time
1053,Jones act like a selfish little kid hogging his sandbox and won't let anyone else play in it.,jones act like a selfish little kid hogging his sandbox and won t let anyone else play in it
1054,"The gap between Jones and Aspinall is smaller than the gap between Jones/DC, and the same as Jones/Miocic... He's just a coward.",the gap between jones and aspinall is smaller than the gap between jones dc  and the same as jones miocic  he s just a coward
1055,"I rarely say this I agree with Jon.
Jon was pushed up to heavyweight. He went did what Dana wanted….. I never understood him going to heavyweight. What’s the point? He’s the undisputed all time light heavyweight king!! He dominated there. Now there’s a new guy who’s at light heavy who’s got the strap, and is bad as f$ck. Why not have the all time King, of that division fight the current strap holder. Same age, size. Aspinall will find someone…","i rarely say this i agree with jon 
jon was pushed up to heavyweight  he went did what dana wanted  i never understood him going to heavyweight  what s the point  he s the undisputed all time light heavyweight king  he dominated there  now there s a new guy who s at light heavy who s got the strap  and is bad as f ck  why not have the all time king  of that division fight the current strap holder  same age  size  aspinall will find someone"
1056,Gay af,gay af
1057,"1. Jon Jones
2. Mighty Mouse
3. Silva
4. GSP
5. Khabib","1  jon jones
2  mighty mouse
3  silva
4  gsp
5  khabib"
1058,Nossa so na bala para  derrubar o cara,nossa so na bala para  derrubar o cara
1059,Yap yap yap,yap yap yap
1060,Can anyone tell me who is that man after the Fight the winner get Meet and Shake hand The Man with the glasses looks Like Money heist Professor 😂😎,can anyone tell me who is that man after the fight the winner get meet and shake hand the man with the glasses looks like money heist professor 😂😎
1061,That is the most grimy the most disrespectful thing you could ever say or do to another man.  I too would catch a case if someone would ever spit on me.,that is the most grimy the most disrespectful thing you could ever say or do to another man   i too would catch a case if someone would ever spit on me
1062,Props to Dana and the UFC,props to dana and the ufc
1063,"So, I heard he went to Thailand. 
I heard he met some kid. I heard the kid took him for ride on a moped and Jon Jones was hugging him nice and tight around his stomach. The kid's name? Sum Young Dum Ho","so  i heard he went to thailand  
i heard he met some kid  i heard the kid took him for ride on a moped and jon jones was hugging him nice and tight around his stomach  the kid s name  sum young dum ho"
1064,"He could knock tha livin shit of you inside tha cage, but ousside that man a gentleman. Respect to Rumble",he could knock tha livin shit of you inside tha cage  but ousside that man a gentleman  respect to rumble
1065,"Well, this proves he doesn't want to fight Tom. Goodbye duck.",well  this proves he doesn t want to fight tom  goodbye duck
1066,Very classy,very classy
1067,3:27  definition of jicking a man while hes down 😅,3 27  definition of jicking a man while hes down 😅
1068,lyoto looked like a defeated MK character in the thumbnail,lyoto looked like a defeated mk character in the thumbnail
1069,All good but he is a drogadict,all good but he is a drogadict
1070,Damn lady sounding like a damn kazoo! STFU! 😂,damn lady sounding like a damn kazoo  stfu  😂
1071,Jones doing that dance just made me more of a fan!,jones doing that dance just made me more of a fan
1072,"If you believe in AI + DeFi convergence, Alaxio ALX could be your macro hedge this cycle.",if you believe in ai   defi convergence  alaxio alx could be your macro hedge this cycle
1073,First I would take a tremendous amount of steroids and then.. ~ Bones,first i would take a tremendous amount of steroids and then    bones
1074,Chanel the undefeated undisputed GOAT,chanel the undefeated undisputed goat
1075,I've lost so much respect for Jon and Connor over the last few years.,i ve lost so much respect for jon and connor over the last few years
1076,He made a lot of money betting the underdog.,he made a lot of money betting the underdog
1077,He's the greatest believe me guys,he s the greatest believe me guys
1078,"Don't blame Jon, blame Dana. Jons always been twisted. Its Danas actual job to make fights. Corrupt AF",don t blame jon  blame dana  jons always been twisted  its danas actual job to make fights  corrupt af
1079,29-0 go sleep,29 0 go sleep
1080,"When you realize dc feels so strongly about what Jon jones does it’s cause , it’s how dc lost his daughter was due to my a drunk driver and Jon hit a pregnant woman so dc feels like he’s a pos for hitting a pregnant woman in a drunk driving incident then run away ofc dc hates him the villain won",when you realize dc feels so strongly about what jon jones does it s cause   it s how dc lost his daughter was due to my a drunk driver and jon hit a pregnant woman so dc feels like he s a pos for hitting a pregnant woman in a drunk driving incident then run away ofc dc hates him the villain won
1081,See how Dana sucks jon off all the time well Micheal thatsyou now just with  tom not a good look mate,see how dana sucks jon off all the time well micheal thatsyou now just with  tom not a good look mate
1082,Yall must have forgot. Jon Jones legacy is big. Tom did not enough to earn a fight with Jones. Alex did,yall must have forgot  jon jones legacy is big  tom did not enough to earn a fight with jones  alex did
1083,Bro who is the annoying lady yelling that’s literally louder than everything 😂😂,bro who is the annoying lady yelling that s literally louder than everything 😂😂
1084,Russians are dumb,russians are dumb
1085,For hype only😂,for hype only😂
1086,More views than Jon vs Gus 1 can’t believe chael knocked him out in the first,more views than jon vs gus 1 can t believe chael knocked him out in the first
1087,Hello fat man please learn how to use a compressor i will literally do your audio for free i cannot take this any longer you have almost half a million subscribers act like it my fat brother,hello fat man please learn how to use a compressor i will literally do your audio for free i cannot take this any longer you have almost half a million subscribers act like it my fat brother
1088,"He may be completely quiet Tom. And I like you Tom, you’re one of my favorite fighters and I have you as the favorite against him as of now. But him being completely quiet could mean A LOT of things. This man may be tapping into some real darkness to prepare for you. So don’t take the gas off the breaks, Jon is one of my fav fighters of all time but Tom deserves this fight",he may be completely quiet tom  and i like you tom  you re one of my favorite fighters and i have you as the favorite against him as of now  but him being completely quiet could mean a lot of things  this man may be tapping into some real darkness to prepare for you  so don t take the gas off the breaks  jon is one of my fav fighters of all time but tom deserves this fight
1089,Clown HeavyWeight shit champ in history JOHN JONG💩💩💩 always looking for aged opponent🤣 or weaker,clown heavyweight shit champ in history john jong💩💩💩 always looking for aged opponent🤣 or weaker
1090,"This the man that straight faced asked if he could finger Nina infront of her boyfriend, he ain't scared of Jon Jones lmao",this the man that straight faced asked if he could finger nina infront of her boyfriend  he ain t scared of jon jones lmao
1091,Fr nobody throws leg kicks quite like jon bones jones,fr nobody throws leg kicks quite like jon bones jones
1092,Gamer moment,gamer moment
1093,"Oh for f*cks sake, we get it, DC poked Stipe's eyes in their fights. Can't you give a great guy and awesome competitor a break after he just lost his presumably final fight of his career.",oh for f cks sake  we get it  dc poked stipe s eyes in their fights  can t you give a great guy and awesome competitor a break after he just lost his presumably final fight of his career
1094,Christian amerikan champion ❤❤,christian amerikan champion ❤❤
1095,Francis would smoke john,francis would smoke john
1096,Tom still waited. He coulda copped a fight in between lol,tom still waited  he coulda copped a fight in between lol
1097,Id rather see him fight alex😅,id rather see him fight alex😅
1098,There's not enough video of tom in deep rounds for Jones to study that's why Jones won't fight I don't believe that Jones is scared or ducking Jones don't want to jump in the water hoping there's no sharks and I think that's smart by jones so I believe they want fight sad for tom but most of all sad for the fans that made Jones rich😢😢,there s not enough video of tom in deep rounds for jones to study that s why jones won t fight i don t believe that jones is scared or ducking jones don t want to jump in the water hoping there s no sharks and i think that s smart by jones so i believe they want fight sad for tom but most of all sad for the fans that made jones rich😢😢
1099,we acknowledging jon fans comments?,we acknowledging jon fans comments
1100,"Ничего себе, тут даже слов не нужно, все на видео",ничего себе  тут даже слов не нужно  все на видео
1101,"Wonder how much will fucking Dana White cry about his eye. When Stipe went under eye surgery due to DC multiple poking, Dana told us Stipe is healing from the fight.",wonder how much will fucking dana white cry about his eye  when stipe went under eye surgery due to dc multiple poking  dana told us stipe is healing from the fight
1102,two goats. some of the coolest people in mma.,two goats  some of the coolest people in mma
1103,"Naa, stepe is right,",naa  stepe is right
1104,Lmaooo Cormier is such a puss 😂😂,lmaooo cormier is such a puss 😂😂
1105,Crazy that the green juice didn’t give Brendan the edge to beat him here…,crazy that the green juice didn t give brendan the edge to beat him here
1106,"He just described the true definition of an alcoholic.. no one can have just one, you're setting yourself up bro.",he just described the true definition of an alcoholic  no one can have just one  you re setting yourself up bro
1107,"First Ngannou and now Tom, JJ isn’t an idiot",first ngannou and now tom  jj isn t an idiot
1108,Jon is quacking out of happiness 🦆,jon is quacking out of happiness 🦆
1109,So did he retire after this fight?,so did he retire after this fight
1110,Lolz.87.,lolz 87
1111,Retire or fight Tom,retire or fight tom
1112,Is that the same dude Jones was sniffing????,is that the same dude jones was sniffing
1113,Calls him out like a British gentleman.,calls him out like a british gentleman
1114,"i really hope that all of this talking will end up being worth it for tom, bc at this point, all it's done is waste a year of his prime and not give him a career-defining win",i really hope that all of this talking will end up being worth it for tom  bc at this point  all it s done is waste a year of his prime and not give him a career defining win
1115,This guy Jones fights good. I predict a bright future,this guy jones fights good  i predict a bright future
1116,Dc is such a good dude. And u can see he bears no hate in his heart when speaking on Jon jones. Just saying the truth that we all know and that he doesn’t want to hear,dc is such a good dude  and u can see he bears no hate in his heart when speaking on jon jones  just saying the truth that we all know and that he doesn t want to hear
1117,Man now i see the true color's of the UFC fans are racist y'all couldn't wait to see him fail,man now i see the true color s of the ufc fans are racist y all couldn t wait to see him fail
1118,"When you yourself Poke!! You get Poked back, right!?!?!?",when you yourself poke  you get poked back  right
1119,LOL this fight lasts longer then it took Jon to beat his wife and get arrested.,lol this fight lasts longer then it took jon to beat his wife and get arrested
1120,"Daniel Cormier isn't a cry baby , I like this guy , my respect goes to both fighters.",daniel cormier isn t a cry baby   i like this guy   my respect goes to both fighters
1121,"Respect to this guy, is not easy stay there",respect to this guy  is not easy stay there
1122,"So, Jones says of Aspinall, ""he's no threat to me,"" and Aspinall would be Jones's biggest payday ever, but he won't risk fighting him. Obviously he's afraid of getting knocked out, as any objective UFC fan can clearly see. Who would have thought Jones would end his career as a pathetic coward? Aspinall lives in Jones's head rent free.",so  jones says of aspinall   he s no threat to me  and aspinall would be jones s biggest payday ever  but he won t risk fighting him  obviously he s afraid of getting knocked out  as any objective ufc fan can clearly see  who would have thought jones would end his career as a pathetic coward  aspinall lives in jones s head rent free
1123,"Remember that TV show Sliders? Everything looks normal, then you realise that you're still in the wrong dimension because something is very very wrong.",remember that tv show sliders  everything looks normal  then you realise that you re still in the wrong dimension because something is very very wrong
1124,"I want to fight old end of there prime fighters

The dude juiced and cheated his way through his whole legacy in my opinion
Yeah he thought absolute warriors and is a warrior himself
But he cheated his way to the very too","i want to fight old end of there prime fighters

the dude juiced and cheated his way through his whole legacy in my opinion
yeah he thought absolute warriors and is a warrior himself
but he cheated his way to the very too"
1125,"Alien is far superior, but I did love Romulus.",alien is far superior  but i did love romulus
1126,He did it!😂👍,he did it 😂👍
1127,"Jones is incredible. One thing i fucking HATE about him is those front leg kicks he does. Side kicks just above the kneecaps. You can hyper etextend the opponents knees. Those aren't illegal but they 100% should be. They can literally end careers. It's flat out dirty. That and the eye pokes Jones is famous af for. Besides those things, love Jones",jones is incredible  one thing i fucking hate about him is those front leg kicks he does  side kicks just above the kneecaps  you can hyper etextend the opponents knees  those aren t illegal but they 100  should be  they can literally end careers  it s flat out dirty  that and the eye pokes jones is famous af for  besides those things  love jones
1128,Not one of you scare me,not one of you scare me
1129,He hasn't got it.,he hasn t got it
1130,"Jones is the best inside the cage, but he is the worst outside the cage",jones is the best inside the cage  but he is the worst outside the cage
1131,"Jones is playing games. He doesn’t want to fight, and knows Ngannou isn’t coming back. It’s like when Jake Paul calls out people knowing it’s not going to happen. It’s just jones being a 🦆",jones is playing games  he doesn t want to fight  and knows ngannou isn t coming back  it s like when jake paul calls out people knowing it s not going to happen  it s just jones being a 🦆
1132,last two made no sense..? well i get the dricus kissing his coach seems odd but maybe thats normal in south africa lol. But the jones thing... is it the pink shirt? surely ya could find something better,last two made no sense  well i get the dricus kissing his coach seems odd but maybe thats normal in south africa lol  but the jones thing  is it the pink shirt  surely ya could find something better
1133,"is this about the heavyweight division or cormier and jones tryna tug eachother off. bro talk about the sports, not who’s got more money",is this about the heavyweight division or cormier and jones tryna tug eachother off  bro talk about the sports  not who s got more money
1134,"All of Toms fights end quick, Jones will find a way to wear him out.",all of toms fights end quick  jones will find a way to wear him out
1135,Whoever came up with the concept of tea bagging is a menace 😂,whoever came up with the concept of tea bagging is a menace 😂
1136,You got that right John is the biggest duck ever quack quack!!!!!!!!!!!!!!!!!!!!!!!,you got that right john is the biggest duck ever quack quack
1137,"At the start, Chael’s reverse back takedown is unbelievable and lethal, incredible technique. It snapped Jon Jones’s head forward like a car toy. They say Bones has never been the same after that…it must have awoken his addictions. Never piss off a Gangster!",at the start  chael s reverse back takedown is unbelievable and lethal  incredible technique  it snapped jon jones s head forward like a car toy  they say bones has never been the same after that it must have awoken his addictions  never piss off a gangster
1138,Just imagine how Jones must've felt seeing his hero compassionately go easy on him and orchestrating everything with the entire arena so Jones would feel as if he had won. All that to make a fan feel better to himself. What a class act from Chael... Double W on that night for the champ.,just imagine how jones must ve felt seeing his hero compassionately go easy on him and orchestrating everything with the entire arena so jones would feel as if he had won  all that to make a fan feel better to himself  what a class act from chael  double w on that night for the champ
1139,GSP vacated 2 titles in 2 different weight classes back to back without defending… not the 🐐,gsp vacated 2 titles in 2 different weight classes back to back without defending  not the 🐐
1140,You owe him your belt as well as a pint,you owe him your belt as well as a pint
1141,Fkn right. Im w jon.,fkn right  im w jon
1142,My Coke consumption was never the issue it was the fact no one told me how to moderate it,my coke consumption was never the issue it was the fact no one told me how to moderate it
