id,text_raw,text_clean
2108,Homelander type speech😭🙏,homelander type speech😭🙏
2109,"cmon, no ONE caresa abourt jon duck thew quack jones anymore... tom, give it a rest, go to another , serious promotion! Get lawyers to sue dana trash white!",cmon  no one caresa abourt jon duck thew quack jones anymore  tom  give it a rest  go to another   serious promotion  get lawyers to sue dana trash white
2110,Crackhead,crackhead
2111,The boys are all madness,the boys are all madness
2112,He said call it so call it !!!! He might have been trying to motivate him but he said he couldn’t go on like,he said call it so call it   he might have been trying to motivate him but he said he couldn t go on like
2113,"This man thinks he's a better fighter than DJ? He's bigger yeah so would probably just out muscle him. But skill level, fight IQ? DJ. All day. the man never said no to any fight! This dude has ducked 2 guys now. The greatest would prove they're the greatest to the end.",this man thinks he s a better fighter than dj  he s bigger yeah so would probably just out muscle him  but skill level  fight iq  dj  all day  the man never said no to any fight  this dude has ducked 2 guys now  the greatest would prove they re the greatest to the end
2114,Good man Diaz ❤,good man diaz ❤
2115,"I got mad respect. I fought 3 must Thai matches thinking I was gonna be the net big thing. First match got liver kicked and felt like I was in hell the whole round. Walk out round two into the exact same thing and couldn’t continue. Lost next two by decision. Got a regular job after that and just practice. That dudes a bull, he keeps on still from what I hear",i got mad respect  i fought 3 must thai matches thinking i was gonna be the net big thing  first match got liver kicked and felt like i was in hell the whole round  walk out round two into the exact same thing and couldn t continue  lost next two by decision  got a regular job after that and just practice  that dudes a bull  he keeps on still from what i hear
2116,I think Jon wins he is a POS and probably ducking tho ...,i think jon wins he is a pos and probably ducking tho
2117,Yeah the kid was more level headed and rational after what appears to have been a few hits to the head than the older coach /trainer. Too bad your trainer should always be looking out for his fighter. Call it let the kid get back to the gym and keep training there will be other fights and tomorrow is another day,yeah the kid was more level headed and rational after what appears to have been a few hits to the head than the older coach  trainer  too bad your trainer should always be looking out for his fighter  call it let the kid get back to the gym and keep training there will be other fights and tomorrow is another day
2118,"Yea aspinal is basically stating fact...Jon is effectively retired, he fought twice in like 5 years, and he does NOT welcome all comers, thats not a champion, that's a retiree.",yea aspinal is basically stating fact jon is effectively retired  he fought twice in like 5 years  and he does not welcome all comers  thats not a champion  that s a retiree
2119,Good riddance,good riddance
2120,Jon Jones is a different breed yo 💯🐐,jon jones is a different breed yo 💯🐐
2121,That's sick,that s sick
2122,"Do people still think he is goat?
He was never and never will be, easy fights","do people still think he is goat 
he was never and never will be  easy fights"
2123,Jon Quack Jones,jon quack jones
2124,"Respect to Francis, but how TF is he a legend? He won the belt and defended it once. That's it. Jon wants Francis because he knows it's a FAR easier fight -- he'd take him down as quick as he did with Cyril Gane. Jon's just playing his usual narcissistic psycho games. Strip him and let's move on.",respect to francis  but how tf is he a legend  he won the belt and defended it once  that s it  jon wants francis because he knows it s a far easier fight   he d take him down as quick as he did with cyril gane  jon s just playing his usual narcissistic psycho games  strip him and let s move on
2125,i for one like seeing these  two chatting normal to each other much respect for the both of you its so easy to hate one another it takes a real mature person to get along keep it up i think i like the both of you getting along i think you should keep this relationship going,i for one like seeing these  two chatting normal to each other much respect for the both of you its so easy to hate one another it takes a real mature person to get along keep it up i think i like the both of you getting along i think you should keep this relationship going
