commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgxYhy_eS0i4I5DC_o14AaABAg,"Nothing fake about this video. It perfectly describes the real narrative. It was either retire and be known as the greatest duck of all time or become Ronda Rpusey 2.0 after a loss and getting his self worth, pride and ego completely destroyed. He wisely chose the best of the two worst outcomes.",14 hours ago,0,@MasterRYU01,,B6qaZfeDIH8,1,,
UgxRc5moHBMrEK2Pj6N4AaABAg,Truth,14 hours ago,0,@goodygoodygumdrops5336,,B6qaZfeDIH8,1,,
UgwI6e-tR0-4a90jg2t4AaABAg,Lmaooo this is how everyone should figure out Jones the duck retired 😂😂,14 hours ago,0,@ralleks,,B6qaZfeDIH8,1,,
UgxEBBqBxD5nBFRadh54AaABAg,This is amazing tou dont need ai for this this is what jon jones would say,14 hours ago,0,@JohnSmith-gr8jc,,B6qaZfeDIH8,1,,
UgzamaImmN3fJ6uNn6t4AaABAg,"I hope he sees this and makes a comeback😆
Finally we'll get something in HW division",14 hours ago,0,@Altair_1502,,B6qaZfeDIH8,1,,
UgwFNZ7D-qUIDDmssV94AaABAg,This is gold 😂😂😂,14 hours ago,0,@youtubeiscancer1,,B6qaZfeDIH8,1,,
Ugzk2zHwmWQZ3pZ0bdJ4AaABAg,Ai is crazy,14 hours ago,0,@redrum247,,B6qaZfeDIH8,1,,
UgxA4A6fEd2ELPkDhYl4AaABAg,Word for word accurate.,14 hours ago,0,@MarathonSilver,,B6qaZfeDIH8,1,,
UgzZc-mf8HuTucu4xcR4AaABAg,So proud of Jon for actually admitting he was petrified of tom i actually now have a tiny bit of respect back for for him well done chump 😂,14 hours ago,0,@Rossco.the.pro.dosser,,B6qaZfeDIH8,1,,
UgzaFQMF2mK_pTtEHVt4AaABAg,Confession 😂,14 hours ago,0,@wdilankakmw,,B6qaZfeDIH8,1,,
UgwYn3obhi4EEItGrOt4AaABAg,Haters will say it's AI,14 hours ago (edited),0,@Submergedshot,,B6qaZfeDIH8,7,,
Ugz_ao2dXUHZ7Hl6Yax4AaABAg,Aspinall anxiety lmao,14 hours ago,0,@davi6922,,B6qaZfeDIH8,1,,
UgybnhEg_8voE7aFfxt4AaABAg,Im telling my friends that dont watch MMA that this is Jon Jones official retirement statement 😂❤,14 hours ago,0,@sibusisondaba4354,,B6qaZfeDIH8,1,,
UgyRAbCrQ5M5CqOc-eF4AaABAg,"Lol, isn't Jones a kick boxer mainly tho",14 hours ago,0,@bananaman5704,,B6qaZfeDIH8,1,,
UgzgvTah7yVnHXaWGRh4AaABAg,"Don't be scared of Tom. Bruce lee beat joe lewis who was 65lb bigger, 55 years ago.
I'm a fan of yours jon jones. You are the GOAT imo, but without Tom on your resume you will on ly be goat for 8 years. With Tom on resume you will be goat for 20 years",14 hours ago (edited),0,@iluvcliffrichard,,B6qaZfeDIH8,1,,
UgxwY4W6QldeqRhG3NN4AaABAg,Hahahahahaha 😂,14 hours ago,0,@bennibenassi5657,,B6qaZfeDIH8,1,,
UgyY7LkHr2QEzsJOYvt4AaABAg,My LGBT 🐐 NOOOOOOOO,14 hours ago,0,@yusufthegreat1232,,B6qaZfeDIH8,1,,
UgzYeuookICrhKlvCUV4AaABAg,brilliant,14 hours ago,0,@TheUndead1,,B6qaZfeDIH8,1,,
UgxdV1Y-DyvTOpBA8t54AaABAg,Good riddance scumbag.  Hopefully he just goes away and keeps his hands to himself in his retirement.,14 hours ago,0,@detangojet,,B6qaZfeDIH8,1,,
UgxcHi4h5A8woBokdTB4AaABAg,2 years of Ducking dodging and dissappearing soul filed for unemployment 🔥💯🤣🤣🤣🤣,14 hours ago,0,@CurtisWiggins-z3p,,B6qaZfeDIH8,1,,
Ugwe9lTHY-pnykQLzHR4AaABAg,"Jones vs Comier: I'm younger I'm faster I'm stronger 😏😈

Jones vs Aspinall: he's younger he's faster he's stronger 😰😬",14 hours ago (edited),0,@3bladeninja21,,B6qaZfeDIH8,5,,
Ugw17FfoRtAr9mvuNMR4AaABAg,AI bull$hit,15 hours ago,0,@adammcnamara5027,,B6qaZfeDIH8,1,,
UgyoJQpPjfFS76r9IRF4AaABAg,He’s definitely scared of Tom,15 hours ago,0,@McFly8245,,B6qaZfeDIH8,1,,
Ugx33EGXEFuLSC2RF9d4AaABAg,AI Jon Jones is more honest than real life Jon Jones. Quack quack,15 hours ago,0,@T3hPwnerer,,B6qaZfeDIH8,1,,
UgzBvANENHs5K2M4QuF4AaABAg,Goat to a duck..,15 hours ago,0,@Zawazuki,,B6qaZfeDIH8,1,,
Ugx3ChvpcLUZzFR5hr54AaABAg,🤣👏👏👏👏👏👏,15 hours ago,0,@razvanmarcu3640,,B6qaZfeDIH8,1,,
UgyITRangb3SaZMIp0d4AaABAg,Coward coward duck.,15 hours ago,0,@holyfieldism,,B6qaZfeDIH8,1,,
UgybZtgAsYvAPqOQzul4AaABAg,Quack QUACK,15 hours ago,0,@AnthonyTaylor-gf4lq,,B6qaZfeDIH8,1,,
UgxtedTkkavLNdiQGlh4AaABAg,Coward,15 hours ago,0,@jaycee571,,B6qaZfeDIH8,1,,
UgxMAJ00IWEculiwwUF4AaABAg,"Esto no es real, es IA",15 hours ago,0,@nelastmartinez9677,,B6qaZfeDIH8,1,,
UgwnMF3tdgKQnRUWbjV4AaABAg,Jon Chicken Bones Jones,15 hours ago,0,@Wyldout,,B6qaZfeDIH8,1,,
UgyyDIwCKLNM55a_5WJ4AaABAg,😂 the sincere honesty is appreciated,15 hours ago,0,@gotur,,B6qaZfeDIH8,11,,
Ugx7prD9df3OdZO6j9R4AaABAg,Sounds about right 😂,15 hours ago,0,@gohanson8846,,B6qaZfeDIH8,1,,
Ugw70_27hlIiHG7ROhZ4AaABAg,Ha superb.,15 hours ago,0,@mr-legionnaire,,B6qaZfeDIH8,1,,
UgxHZnUUf2cSbyk5Tph4AaABAg,If this gets just a hair better you really won't be able to tell fake from real and then where will we be?  Most of what we 'know' about our world is things we've seen video of.,15 hours ago,0,@unholysix6883,,B6qaZfeDIH8,1,,
UgzUIRD2Pov3QVBVBSN4AaABAg,Aspinall Anxiety 🤣🤣,15 hours ago,0,@jedzy,,B6qaZfeDIH8,1,,
